lga_name,year,median_rent,offence_count,independent_schools,total_schools,gp_clinics_per_1000,allied_health_per_1000,dental_sites_per_1000,pharmacies_per_1000,acsc_per_1000,address,suburb,latitude,longitude,straight_line_km,driving_km
BALLARAT,2002,160,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2003,160,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2003,165,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2003,165,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2003,170,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2004,175,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2004,170,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2004,170,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2004,175,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2005,180,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2005,180,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2005,180,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2005,180,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2006,185,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2006,180,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2006,180,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2006,190,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2007,190,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2007,190,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
BALLARAT,2007,190,,4.0,48,0.3,0.8,0.3,0.2,25.5,,,,,,
